Node,ID,Label,Place,Latitude,Longitude,Gender,FloruitStartDate,FloruitEndDate,FirstMention,Lat_lon,Ethnicity,Greek_yn
Cambyses I,56,Cambyses I,Persia,32.1887935,48.2537285,Male,,,1.108,"32.1887935, 48.2537285",Persian,0
Mandane,57,Mandane,Ecbatana,34.799294,48.512209,Female,,,1.108,"34.799294, 48.512209",Median,0
Wife of Harpagos,58,Harpagos' wife,Ecbatana,34.799294,48.512209,Female,,,1.109,"34.799294, 48.512209",Median,0
Mitradates,59,Mitradates,Ecbatana,34.799294,48.512209,Male,,,1.109,"34.799294, 48.512209",Median,0
Spako,60,Spako,Ecbatana,34.799294,48.512209,Female,,,1.109,"34.799294, 48.512209",Median,0
Artembares,61,Artembares,Ecbatana,34.799294,48.512209,Male,,,1.114,"34.799294, 48.512209",Median,0
Son of Artembares,62,Son of Artembares,Ecbatana,34.799294,48.512209,Male,,,1.114,"34.799294, 48.512209",Median,0
Son of Harpagos,63,Son of Harpagos,Ecbatana,34.799294,48.512209,Male,,,1.118,"34.799294, 48.512209",Median,0
Ionian and Aeolian embassy,64,Ionian and Aeolian embassy,Ionia,38.0909935,26.9890005,Male,,,1.141,"38.0909935, 26.9890005",Greek,1
Lakrines,66,Lakrines,Sparta,37.082132,22.42366,Male,,,1.152,"37.082132, 22.42366",Greek,1
Tabalos,67,Tabalos,Persia,32.1887935,48.2537285,Male,,,1.153,"32.1887935, 48.2537285",Persian,0
Paktyes,68,Paktyes,Sardis,38.488314,28.040286,Male,,,1.153,"38.488314, 28.040286",Lydian,0
Mazares,69,Mazares,Ecbatana,34.799294,48.512209,Male,,,1.156,"34.799294, 48.512209",Median,0
Cymaean embassy,70,Cymaean embassy,Cyme,38.75953,26.936283,Male,,,1.158,"38.75953, 26.936283",Greek,1
Oracle at Branchidai,71,Oracle at Branchidai,Didyma,37.384829,27.256115,Male,,,1.158,"37.384829, 27.256115",Greek,1
Aristodikos,72,Aristodikos,Cyme,38.75953,26.936283,Male,,,1.158,"38.75953, 26.936283",Greek,1
Cnidian embassy,73,Cnidian embassy,Cnidus,36.686188,27.37404,Male,,,1.174,"36.686188, 27.37404",Greek,1
Labynetos II,74,Labynetos II,Babylon,32.543333,44.422222,Male,,,1.188,"32.543333, 44.422222",Babylonian,0
Tomyris,75,Tomyris,Massagetai,37.5,62.5,Female,,,1.205,"37.5, 62.5",Massagetan,0
Cambyses II,76,Cambyses II,Ecbatana,34.799294,48.512209,Male,,,1.208,"34.799294, 48.512209",Persian,0
Hystaspes,77,Hystaspes,Persia,32.1887935,48.2537285,Male,,,1.209,"32.1887935, 48.2537285",Persian,0
Spargapises,78,Spargapises,Massagetai,37.5,62.5,Male,,,1.212,"37.5, 62.5",Massagetan,0
Astyages,79,Astyages,Ecbatana,34.799294,48.512209,Male,,,1.46,"34.799294, 48.512209",Median,0
