Object Number,Object ID,Object Name,Title,Culture,Period,Object Date,Object Begin Date,Object End Date,location,Link Resource
91.1.1890,257283,"Fragment, mosaic base",Glass mosaic fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257283
"18.103.1, .2",250672,Earring,Gold earrings,Etruscan,Late Classical,4th--early 3rd century B.C.,-399,-200,Italy,http://www.metmuseum.org/art/collection/search/250672
1988.11.4,255895,Kylix fragments,"Fragments of a terracotta kylix, join 1979.11.8","Greek, Attic",Archaic,ca. 490 B.C.,-490,-490,Greece,http://www.metmuseum.org/art/collection/search/255895
74.51.1337,240922,Bowl,Bowl,Cypriot,Early--Middle Cypriot,2500--1600 B.C.,-2500,-1600,Cyprus,http://www.metmuseum.org/art/collection/search/240922
74.51.5096,243976,Alabastron,Alabaster alabastron (perfume vase),Cypriot,Classical,5th--4th century B.C.,-499,-300,Cyprus,http://www.metmuseum.org/art/collection/search/243976
74.51.1261,240848,Goblet,Terracotta goblet,Cypriot,Cypro-Geometric I,ca. 1050--950 B.C.,-1050,-950,Cyprus,http://www.metmuseum.org/art/collection/search/240848
06.1021.272,247437,Bowl,Terracotta bowl,Etruscan,Late Classical--Hellenistic,4th--3rd century B.C.,-399,-200,Italy,http://www.metmuseum.org/art/collection/search/247437
91.1.1781,257168,"Fragment, mosaic bowl",Glass mosaic bowl fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257168
74.51.2668,242219,"Statue of a votary, male",Limestone statuette of a beardless male votary holding a bird,Cypriot,Early Hellenistic,4th century B.C,-400,-301,Cyprus,http://www.metmuseum.org/art/collection/search/242219
55.71.8,254833,"Dinos, fragment",Fragment of a terracotta dinos (deep round-bottomed bowl),"East Greek, Chiot",Archaic,ca. 600 B.C.,-600,-600,Turkey,http://www.metmuseum.org/art/collection/search/254833
44.11.8,254514,"Doll, articulated","Terracotta jointed ""doll""","Greek, Corinthian",Classical,5th century B.C.,-499,-400,Greece,http://www.metmuseum.org/art/collection/search/254514
1983.535.75,326828,Stamp seal,Compartmented stamp seal,Bactria-Margiana Archaeological Complex,Bronze Age,ca. late 3rd--early 2nd millennium B.C.,-2300,-1700,Bactria-Margiana,http://www.metmuseum.org/art/collection/search/326828
74.51.364,239949,"Pyxis, inscribed",Terracotta pyxis (cosmetic box),"Greek, Corinthian",Late Corinthian,ca. 550 B.C.,-599,-500,Greece,http://www.metmuseum.org/art/collection/search/239949
74.51.3748,243165,Earring with pendant,Gold earring with disc and pendant,Roman,Imperial,2nd century A.D.,100,199,Italy,http://www.metmuseum.org/art/collection/search/243165
26.164.16,252580,"Tile fragment, lion in relief",Terracotta architectural tile,Lydian,Archaic,6th century B.C.,-599,-500,Turkey,http://www.metmuseum.org/art/collection/search/252580
05.44.499,247152,Tetradrachm,Silver tetradrachm,"Greek, Attic",Classical,,-7000,330,Greece,http://www.metmuseum.org/art/collection/search/247152
74.51.4492,243760,"Amulet, Bast",Faience amulet in the form of a lion-headed deity,Egyptian,Late Dynastic--Hellenistic,664--30 B.C.,-664,-30,Egypt,http://www.metmuseum.org/art/collection/search/243760
21.88.75,251099,Calyx-krater,Terracotta calyx-krater (mixing bowl),"Greek, South Italian, Lucanian",Classical,ca. 430--400 B.C.,-430,-400,Italy,http://www.metmuseum.org/art/collection/search/251099
96.9.102,246173,Stand,Terracotta stand,Etruscan,Archaic,6th century B.C.,-599,-500,Italy,http://www.metmuseum.org/art/collection/search/246173
93.17.52,322192,Stamp seal,Stamp seal,Achaemenid,Achaemenid,ca. 6th--4th century B.C.,-600,-300,Iran,http://www.metmuseum.org/art/collection/search/322192
74.51.2700,242251,"Hand, right, holding libation bowl",Limestone hand holding a phiale (libation bowl),Cypriot,Classical,5th--4th century B.C.,-499,-300,Cyprus,http://www.metmuseum.org/art/collection/search/242251
91.1.1853,257078,"Fragment, network mosaic",Glass network mosaic fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257078
74.51.5682,244560,Lampstand with lotus petals,Bronze lampstand,Cypriot,Cypro-Archaic,ca. 750--480 B.C.,-750,-480,Cyprus,http://www.metmuseum.org/art/collection/search/244560
74.57.16,244797,Statuette of a cock,Rooster figurine,Cypriot,Late Archaic,early 5th century B.C.,-499,-475,Cyprus,http://www.metmuseum.org/art/collection/search/244797
74.51.5837,244713,Flask,Glass flask,Roman,Mid Imperial,2nd--3rd century A.D.,100,299,Italy,http://www.metmuseum.org/art/collection/search/244713
07.286.76,247956,Column-krater,Terracotta column-krater (bowl for mixing wine and water),"Greek, Attic",Archaic,ca. 520--510 B.C.,-520,-500,Greece,http://www.metmuseum.org/art/collection/search/247956
41.160.492,253720,Ring with scarab,Carnelian scarab in gold ring,Greek,Classical,2nd half of the 5th century B.C.,-450,-400,Greece,http://www.metmuseum.org/art/collection/search/253720
74.51.502,240089,Krater,Krater,Cypriot,Cypro-Archaic I,750--600 B.C.,-750,-600,Cyprus,http://www.metmuseum.org/art/collection/search/240089
23.160.4,251348,"Head of a satyr, upper part",Graywacke head of a satyr,Roman,Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/251348
1973.175.3,255518,Kantharos fragment,Kantharos fragment,"Greek, Attic",Late Archaic,ca. 490 B.C.,-490,-490,Greece,http://www.metmuseum.org/art/collection/search/255518
26.199.286,252849,Skyphos,Skyphos,"Greek, Attic",Geometric,ca. 800--750 B.C.,-799,-700,Greece,http://www.metmuseum.org/art/collection/search/252849
74.51.1242,240829,Jug,Terracotta jug,Cypriot,Middle Cypriot III,ca. 1725--1600 B.C.,-1725,-1600,Cyprus,http://www.metmuseum.org/art/collection/search/240829
74.51.1802,241357,Model of a cart with man,"Terracotta model of a ""cart""",Cypriot,Cypro-Archaic II,6th century B.C.,-599,-500,Cyprus,http://www.metmuseum.org/art/collection/search/241357
59.41.41,324871,Bead spreader,Bead spreader,Sumerian,Early Dynastic,ca. 2900--2350 B.C.,-2900,-2350,Mesopotamia,http://www.metmuseum.org/art/collection/search/324871
74.51.598,240185,Jug,Terracotta jug,Cypriot,Late Cypriot II,ca. 1450--1200 B.C.,-1450,-1200,Cyprus,http://www.metmuseum.org/art/collection/search/240185
56.42.4,324490,Ornament,Ornament with back-to-back lions,Achaemenid,Achaemenid,ca. 6th--4th century B.C.,-600,-300,Iran,http://www.metmuseum.org/art/collection/search/324490
62.70.43,325448,Inlay,Inlay,Sumerian,Early Dynastic IIIa,ca. 2600--2500 B.C.,-2600,-2500,Mesopotamia,http://www.metmuseum.org/art/collection/search/325448
20.211,250964,Mirror with Satyr and Nymph,Bronze mirror,Etruscan,Classical,ca. 425--400 B.C.,-425,-400,Italy,http://www.metmuseum.org/art/collection/search/250964
66.11.16,255226,Column-krater,Terracotta column-krater (bowl for mixing wine and water),"Greek, Laconian",Archaic,2nd half of 6th century B.C.,-550,-500,Greece,http://www.metmuseum.org/art/collection/search/255226
62.11.10,255131,Olpe,Terracotta olpe (jug),Etruscan,Archaic,ca. 550--525 B.C.,-550,-525,Italy,http://www.metmuseum.org/art/collection/search/255131
74.51.477,240063,Strainer,Strainer,Cypriot,Cypro-Geometric I ?,1050--950 B.C.,-1050,-950,Cyprus,http://www.metmuseum.org/art/collection/search/240063
17.194.67,249312,Perfume bottle,Glass perfume bottle,Roman or Frankish,"Mid to Late Imperial, or later",2nd--3rd century A.D. or later,100,299,France,http://www.metmuseum.org/art/collection/search/249312
"1973.212.2a, b",255524,"Kylix fragments, 2","Kylix fragments, 2","Greek, Attic",Late Archaic,ca. 490--480 B.C.,-490,-480,Greece,http://www.metmuseum.org/art/collection/search/255524
26.31.274,252224,"Seal, amygdaloid",Hematite Amygdaloid,Minoan,Late Minoan IB--II,ca. 1500--1400 B.C.,-1500,-1400,Crete,http://www.metmuseum.org/art/collection/search/252224
99.22.14,322283,Stamp seal,Conoid seal with hammer head handle,Old Assyrian Trading Colony,Middle Bronze Age--Old Assyrian Trading Colony,early 2nd millennium B.C.,-1820,-1740,Anatolia,http://www.metmuseum.org/art/collection/search/322283
17.194.805,250031,Bead,Glass eye bead,"Greek, Eastern Mediterranean",Late Classical,ca. 4th century B.C.,-399,-300,Greece,http://www.metmuseum.org/art/collection/search/250031
74.51.1834,241389,"Lamp, concave top",Terracotta lamp,"Roman, Cypriot",Early Imperial,1st century B.C.--1st century A.D.,-99,99,Cyprus,http://www.metmuseum.org/art/collection/search/241389
12.235.4,248730,Skyphos fragment,Two fragments of a terracotta skyphos (deep drinking cup),"Greek, South Italian, Lucanian",Classical,ca. 420--400 B.C.,-420,-400,Italy,http://www.metmuseum.org/art/collection/search/248730
64.11.11,255167,"Askos in the form of a horse, three legged",Terracotta vase in the form of a three-legged horse,East Greek,Archaic,6th century B.C.,-599,-500,Turkey,http://www.metmuseum.org/art/collection/search/255167
74.51.415,240001,Jug,Jug,Cypriot,Cypro-Classical II,400--310 B.C.,-400,-310,Cyprus,http://www.metmuseum.org/art/collection/search/240001
"1995.180a, b",327506,Earrings,Earrings,Achaemenid,Achaemenid,ca. 6th--4th century B.C.,-600,-300,Iran,http://www.metmuseum.org/art/collection/search/327506
74.51.193,239778,Perfume bottle,Glass perfume bottle,Roman,Early Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/239778
X.21.197,256738,Perfume bottle,Glass perfume bottle,"Roman, Egyptian",Mid Imperial,2nd--3rd century A.D.,100,299,Egypt,http://www.metmuseum.org/art/collection/search/256738
74.51.1439,240994,Head of a male votary,Head of a deity (Melqart?),Cypriot,Cypro-Classical I,5th century B.C.,-499,-400,Cyprus,http://www.metmuseum.org/art/collection/search/240994
74.51.1418,240981,Aryballos,Aryballos,"Greek, Corinthian",Protocorinthian,ca. 650--600 B.C.,-650,-600,Greece,http://www.metmuseum.org/art/collection/search/240981
1983.535.76,326829,Stamp seal,Compartmented stamp seal,Bactria-Margiana Archaeological Complex,Bronze Age,ca. late 3rd--early 2nd millennium B.C.,-2300,-1700,Bactria-Margiana,http://www.metmuseum.org/art/collection/search/326829
74.51.4097,243509,"Ring, motto",Gold ring with inscribed bezel,Roman,Imperial,1st century B.C.--3rd century A.D.,-99,299,Italy,http://www.metmuseum.org/art/collection/search/243509
21.88.36,251062,Scaraboid,Plasma scaraboid,Greek,Archaic,ca. 500 B.C.,-500,-500,Greece,http://www.metmuseum.org/art/collection/search/251062
91.1.1952,257344,"Fragment, striped mosaic",Glass striped mosaic bowl fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257344
09.221.41,248179,Nolan neck-amphora with triple handles,Terracotta Nolan neck-amphora (jar),"Greek, Attic",Classical,ca. 480--470 B.C.,-480,-470,Greece,http://www.metmuseum.org/art/collection/search/248179
13.198.4,248746,"Bowl, oval",Glass oval bowl,Roman,"Early Imperial, Julio-Claudian",first half of 1st century A.D.,1,60,Italy,http://www.metmuseum.org/art/collection/search/248746
81.10.340,245486,Amphoriskos,Glass amphoriskos (perfume bottle),"Greek, Eastern Mediterranean",Classical,late 6th--5th century B.C.,-525,-400,Greece,http://www.metmuseum.org/art/collection/search/245486
17.194.111,249356,Perfume bottle,Glass perfume bottle,Roman,Mid Imperial,2nd--3rd century A.D.,100,299,Italy,http://www.metmuseum.org/art/collection/search/249356
24.97.30,251491,Bell-krater,Terracotta bell-krater (bowl for mixing wine and water),"Greek, Attic",Classical,ca. 440 B.C.,-440,-440,Greece,http://www.metmuseum.org/art/collection/search/251491
74.51.720,240307,Amphoriskos,Amphoriskos,Cypriot,Cypro-Archaic II,600--480 B.C.,-600,-480,Cyprus,http://www.metmuseum.org/art/collection/search/240307
74.51.148,239733,Bottle,Glass bottle,Roman,Mid Imperial,2nd--3rd century A.D.,100,299,Italy,http://www.metmuseum.org/art/collection/search/239733
03.3.2,246979,Rhyton in the form of a deer's head,Terracotta rhyton (vase for libations or drinking),"Greek, South Italian, Apulian",Late Classical,ca. 350--300 B.C.,-350,-300,Italy,http://www.metmuseum.org/art/collection/search/246979
74.51.773,240360,Amphora,Amphora,Cypriot,Cypro-Geometric I,1050--950 B.C.,-1050,-950,Cyprus,http://www.metmuseum.org/art/collection/search/240360
91.1.1714,257064,"Fragment, mosaic bowl",Glass mosaic bowl fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257064
17.190.115,249204,Bead,Glass bead,Roman,Imperial,ca. 2nd--4th century A.D.,100,399,Italy,http://www.metmuseum.org/art/collection/search/249204
21.88.41,251067,Scarab,Agate scarab,Etruscan,Classical,early 4th century B.C.,-399,-375,Italy,http://www.metmuseum.org/art/collection/search/251067
10.130.1366,248212,Statuette of Harpokrates,Statuette of Harpokrates,Egyptian,Roman,30 B.C.--A.D. 364,-30,364,Egypt,http://www.metmuseum.org/art/collection/search/248212
81.10.87,245244,Beaker,Glass beaker,Roman,Late Imperial,4th century A.D.,300,399,Italy,http://www.metmuseum.org/art/collection/search/245244
17.194.239,249483,Sprinkler flask,Glass sprinkler flask,Roman,Late Imperial,4th century A.D.,300,399,Italy,http://www.metmuseum.org/art/collection/search/249483
2011.603.1,259145,Kylix fragment,Fragment of a terracotta kylix (drinking cup),"Greek, Attic",Classical,ca. 480 B.C.,-500,-475,Greece,http://www.metmuseum.org/art/collection/search/259145
74.51.1530,241086,"Roundel, medallion of a youth",Shield,Cypriot,Hellenistic,2nd century B.C.(?),-199,-100,Cyprus,http://www.metmuseum.org/art/collection/search/241086
98.11.63,246816,Ring with beryl,Silver ring with beryl,Roman,Late Imperial,3rd century A.D.,200,299,Italy,http://www.metmuseum.org/art/collection/search/246816
24.195.165,251731,"Wreaths, 11",Lead wreath,"Greek, Laconian",Archaic,6th--5th century B.C.,-599,-400,Greece,http://www.metmuseum.org/art/collection/search/251731
11.195.7,248573,"Cameo, portrait",Onyx cameo of the emperor Gaius (Caligula),Roman,"Early Imperial, Julio-Claudian",ca. A.D. 37--43,37,43,Italy,http://www.metmuseum.org/art/collection/search/248573
06.1021.59,247228,Neck-amphora,Neck-amphora,"Greek, Attic",Archaic,late 6th century B.C.,-550,-500,Greece,http://www.metmuseum.org/art/collection/search/247228
10.130.1389,248221,Intaglio,Lapis lazuli intaglio: Harpocrates in a papyrus boat,Roman,Imperial,2nd century A.D.,100,199,Italy,http://www.metmuseum.org/art/collection/search/248221
6.1069,247487,Statuette of Aphrodite dancing with Eros,Terracotta statuette of dancing Aphrodite with Eros,"Greek, perhaps Corinthian",Classical,early 4th century B.C.,-399,-375,Greece,http://www.metmuseum.org/art/collection/search/247487
41.162.227,254398,Lekythos,Terracotta lekythos (oil flask),"Greek, Attic",Late Archaic,1st quarter of 5th century B.C.,-499,-475,Greece,http://www.metmuseum.org/art/collection/search/254398
91.1.1664,257015,"Fragment, mosaic ribbed bowl",Glass mosaic ribbed bowl fragment,"Roman, probably Italian",Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,251,Italy,http://www.metmuseum.org/art/collection/search/257015
74.51.2874,242424,Head of a man,Limestone head of a bearded male with a plain headdress,Cypriot,Archaic,2nd quarter of the 6th century B.C.,-575,-551,Cyprus,http://www.metmuseum.org/art/collection/search/242424
74.51.2864,242414,Head of a man,Head of a bearded male with a wreath of leaves,Cypriot,Archaic,3rd quarter of the 6th century B.C.,-550,-526,Cyprus,http://www.metmuseum.org/art/collection/search/242414
56.171.65,254924,Hydria,Terracotta hydria (water jar),"Greek, South Italian, Apulian",Late Classical,ca. 375--350 B.C.,-375,-350,Italy,http://www.metmuseum.org/art/collection/search/254924
86.11.153,321732,Cuneiform tablet,"Cuneiform tablet: house rental contract, archive of Iddin-Nabu and Shellebi",Achaemenid,Achaemenid,ca. 514 B.C.,-514,-514,Mesopotamia,http://www.metmuseum.org/art/collection/search/321732
74.51.1145,240732,Jug,Jug,Cypriot,Bronze Age,ca. 3200--1050 B.C.,-3200,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/240732
79.7.24,321544,Cuneiform tablet,"Cuneiform tablet: loan with work agreement, Egibi archive",Achaemenid,Achaemenid,ca. 512 B.C.,-512,-512,Mesopotamia,http://www.metmuseum.org/art/collection/search/321544
41.160.538,253761,Scarab,Agate scarab,Etruscan,Late Classical,4th century B.C.,-399,-300,Italy,http://www.metmuseum.org/art/collection/search/253761
74.51.1979,241533,Lamp,Lamp,Greek or Roman,Hellenistic or Early Imperial,1st century B.C.--1st century A.D.,-99,99,Greece,http://www.metmuseum.org/art/collection/search/241533
17.194.228,249472,"Bottle, hexagonal",Glass hexagonal bottle,Roman,"Early Imperial, Julio-Claudian",1st half of 1st century A.D.,1,50,Italy,http://www.metmuseum.org/art/collection/search/249472
50.11.7,254652,Kylix,Terracotta kylix (drinking cup),"Greek, Laconian",Archaic,ca. 570--560 B.C.,-570,-560,Greece,http://www.metmuseum.org/art/collection/search/254652
86.11.98,321696,Cuneiform tablet,"Cuneiform tablet: field lease, archive of Bel-remanni",Achaemenid,Achaemenid,ca. 501 B.C.,-501,-501,Mesopotamia,http://www.metmuseum.org/art/collection/search/321696
62.70.53,325458,Inlay,Inlay: leg and foot,Sumerian,Early Dynastic IIIa,ca. 2600--2350 B.C.,-2600,-2350,Mesopotamia,http://www.metmuseum.org/art/collection/search/325458
1972.11.4,255347,Oinochoe,Oinochoe,"Greek, South Italian, Apulian",Late Classical,ca. 350--300 B.C.,-350,-300,Italy,http://www.metmuseum.org/art/collection/search/255347
17.194.63,249308,"Flask, conical",Glass conical flask,Roman,Late Imperial,3rd century A.D.,200,299,Italy,http://www.metmuseum.org/art/collection/search/249308
10.210.10,248295,Oinochoe,Terracotta oinochoe (jug),Etruscan,Archaic,late 6th--early 5th century B.C.,-525,-475,Italy,http://www.metmuseum.org/art/collection/search/248295
1999.325.187,327783,Cylinder seal,Cylinder seal,Mitanni,Mitanni,ca. 15th--13th century B.C.,-1500,-1200,Mesopotamia or Syria,http://www.metmuseum.org/art/collection/search/327783
74.51.3284,242717,Pendant in the form of a male figure,Gold pendant capsule in the form of a male figure,Cypriot,Archaic-Classical,6th--4th century B.C.,-599,-300,Cyprus,http://www.metmuseum.org/art/collection/search/242717
10.224.7,248463,Arrowhead,Flint arrowhead,Greek Neolithic,Neolithic,5th--4th millennium B.C.,-4999,-3000,Greece,http://www.metmuseum.org/art/collection/search/248463
"13.225.30a, b",248780,Disks or buttons,Gold disks with floral motifs and lions' heads,Etruscan,Archaic,late 6th century B.C.,-550,-500,Italy,http://www.metmuseum.org/art/collection/search/248780
74.51.1322,240909,Bottle,Bottle,Cypriot,Late Bronze Age,15th--14th century B.C.,-1499,-1300,Cyprus,http://www.metmuseum.org/art/collection/search/240909
07.286.75,247955,Neck-amphora,Terracotta neck-amphora (jar),"Greek, Attic",Archaic,ca. 550--540 B.C.,-550,-540,Greece,http://www.metmuseum.org/art/collection/search/247955
32.150.401,322817,Sherd,Sherd,Parthian,Parthian,ca. 2nd century B.C.--3rd century A.D.,-2,-2,Mesopotamia,http://www.metmuseum.org/art/collection/search/322817
"1992.266.20, .21",256146,"Stands, spool-shaped, pair","Stands, spool-shaped, pair",Greek or Etruscan,Archaic,late 6th--5th century B.C.,-530,-400,Greece,http://www.metmuseum.org/art/collection/search/256146
1972.118.92,255405,Statuette of a goose,Bronze statuette of a goose,Greek,Hellenistic,ca. 3rd--1st century B.C.,-299,-31,Greece,http://www.metmuseum.org/art/collection/search/255405
17.194.223,249467,"Amphoriskos, scroll band",Glass amphoriskos with band of scrolls,"Roman, Syro-Palestinian",Early Imperial,1st century A.D.,1,99,Syria,http://www.metmuseum.org/art/collection/search/249467
25.95,322539,Sculpture,Figure of a horseman,Achaemenid,Achaemenid,ca. 5th--4th century B.C.,-500,-300,Iran,http://www.metmuseum.org/art/collection/search/322539
34.126.55,323165,Bowl,Bowl,Israelite,Iron Age II,ca. late 8th--7th century B.C.,-725,-600,Levant,http://www.metmuseum.org/art/collection/search/323165
17.194.27,249272,Intaglio ring of Aphrodite,Glass oval set in a gilt bronze ring,Greek,Hellenistic,3rd--2nd century B.C.,-299,-100,Greece,http://www.metmuseum.org/art/collection/search/249272
74.51.1668,241223,"Statuette of a musician, female",Terracotta female musician,Cypriot,Cypro-Archaic II,ca. 600--480 B.C.,-600,-480,Cyprus,http://www.metmuseum.org/art/collection/search/241223
74.51.4486,243754,"Amulet, Thueris",Faience amulet of Taweret,Egyptian,Late Dynastic--Hellenistic,664--30 B.C.,-664,-30,Egypt,http://www.metmuseum.org/art/collection/search/243754
26.199.241,252808,Vase fragment,Vase fragment,"East Greek/Sardis, Lydian",Geometric,,-1050,-700,Turkey,http://www.metmuseum.org/art/collection/search/252808
75.2.13,244819,"Oinochoe, chous",Terracotta oinochoe: chous (jug),"Greek, Attic",Late Classical,mid-4th century B.C.,-375,-325,Greece,http://www.metmuseum.org/art/collection/search/244819
23.198,251449,Bowl fragment,Bowl fragment,Roman,Late Imperial or Late Antique,4th century A.D.,300,399,Italy,http://www.metmuseum.org/art/collection/search/251449
74.51.639,240226,Amphora,Amphora,Cypriot,Cypro-Archaic II,600--480 B.C.,-600,-480,Cyprus,http://www.metmuseum.org/art/collection/search/240226
24.97.82,251508,Amphoriskos,Terracotta amphoriskos (flask),"Greek, Attic",Late Classical,4th century B.C.,-399,-300,Greece,http://www.metmuseum.org/art/collection/search/251508
40.59a--e,253613,"Strigils, 4",Set of bronze strigils and carrying ring,Roman,Late Republican or Imperial,1st century B.C.--2nd century A.D.,-99,199,Italy,http://www.metmuseum.org/art/collection/search/253613
74.51.4313,321388,Cylinder seal,Cylinder seal and modern impression: lion and sphinx over an antelope,Cypriot,Late Cypriot II,ca. 14th century B.C.,-1400,-1300,Cyprus,http://www.metmuseum.org/art/collection/search/321388
74.51.1860,241415,Lamp,Terracotta lamp,Roman,Late Imperial,3rd century A.D.,200,299,Italy,http://www.metmuseum.org/art/collection/search/241415
91.1.1629,245597,"Frgament, monochrome dish",Glass monochrome dish fragment,Roman,"Early Imperial, Julio-Claudian",1st half of 1st century A.D.,1,50,Italy,http://www.metmuseum.org/art/collection/search/245597
17.194.246,249489,Flask in the form of a date,Glass bottle shaped like a date,Roman,Mid Imperial,mid-1st--early 2nd century A.D.,50,120,Italy,http://www.metmuseum.org/art/collection/search/249489
1978.93.29,326457,Bulla,Bulla,Parthian,Parthian,ca. 1st century B.C.--1st century A.D. ,-100,100,Iran,http://www.metmuseum.org/art/collection/search/326457
74.51.2647,242198,Statue of a male votary holding a bird in the left hand,Limestone statue of a male votary holding a bird in the left hand,Cypriot,Late Cypro-Archaic--Early Cypro-Classical,ca 500--450 B.C.,-500,-450,Cyprus,http://www.metmuseum.org/art/collection/search/242198
81.6.74,244945,Intaglio,Topaz ring stone,Roman,Late Republican or Imperial,1st century B.C.--3rd century A.D.,-99,299,Italy,http://www.metmuseum.org/art/collection/search/244945
17.194.426,249663,Pendant in the form of a head,Glass pendant in the shape of an African's head,"Greek, Eastern Mediterranean",Hellenistic,late 2nd--1st century B.C.,-120,-1,Greece,http://www.metmuseum.org/art/collection/search/249663
86.11.171,321749,Cuneiform tablet,Cuneiform tablet: record of return of dowry,Achaemenid,Achaemenid,ca. 495 B.C.,-495,-495,Mesopotamia,http://www.metmuseum.org/art/collection/search/321749
74.51.657,240244,Bowl,Bowl,Cypriot,Iron Age,,-1125,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/240244
1985.57a--h,255835,Amphora fragments,Fragments of a terracotta amphora (jar),"Greek, Attic",Archaic,ca. 540 B.C.,-540,-540,Greece,http://www.metmuseum.org/art/collection/search/255835
47.129,254594,Lamp,Terracotta lamp,"Greek, Attic",Classical,5th century B.C.,-499,-400,Greece,http://www.metmuseum.org/art/collection/search/254594
11.186.5,248506,Cup,Terracotta goblet,Minoan,Middle Minoan IA,ca. 2100--1950 B.C.,-2100,-1950,Crete,http://www.metmuseum.org/art/collection/search/248506
74.51.4360,321448,Cylinder seal,Cylinder seal,Cypriot,Late Cypriot,ca. 16th--13th century B.C.,-1600,-1200,Cyprus,http://www.metmuseum.org/art/collection/search/321448
74.51.1109,240696,Juglet,Juglet,Cypriot,Middle Cypriot,1900--1600 B.C.,-1900,-1600,Cyprus,http://www.metmuseum.org/art/collection/search/240696
74.51.5046,243926,Plate or palette,Andesite mortar or plate,Cypriot,Late Bronze Age,ca. 1600--1050 B.C.,-1600,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/243926
47.100.84,324026,Bowl ,Lobed bowl with a royal inscription,Achaemenid,Achaemenid,ca. 465--424 B.C.,-465,-424,Iran,http://www.metmuseum.org/art/collection/search/324026
91.1.1976,257176,"Fragment, short-strip mosaic bowl",Glass short-strip mosaic bowl fragment.,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257176
