Source,Target,Type,ID,Label,Aligned_yn,Category,Subcategory,Passage,StartDate,EndDate,Pseudodate
Mitradates,Harpagos,Directed,140,,n,cooperation,reporting,1.113,,,1113-01-01
Cyrus,Son of Artembares,Directed,141,,n,negotiation,political negotiation,1.114,,,1114-01-01
Son of Artembares,Cyrus,Directed,142,,n,conflict,political negotiation,1.114,,,1114-02-01
Cyrus,Son of Artembares,Directed,143,,n,violence,punishment (non-execution),1.114,,,1114-03-01
Son of Artembares,Artembares,Directed,144,,y,consultation,reporting,1.114,,,1114-04-01
Artembares,Astyages,Directed,145,,y,consultation,consultation,1.114,,,1114-05-01
Astyages,Mitradates,Directed,146,,n,conflict,punishment (non-execution),1.115,,,1115-01-01
Astyages,Cyrus,Directed,147,,n,conflict,consultation,1.115,,,1115-02-01
Cyrus,Astyages,Directed,148,,n,cooperation,reporting,1.115,,,1115-03-01
Astyages,Artembares,Directed,149,,y,negotiation,political transaction,1.116,,,1116-01-01
Astyages,Mitradates,Directed,150,,n,negotiation,political negotiation,1.116,,,1116-02-01
Mitradates,Astyages,Directed,151,,n,negotiation,reporting,1.116,,,1116-03-01
Astyages,Mitradates,Directed,152,,n,negotiation,threat/ultimatum,1.116,,,1116-04-01
Mitradates,Astyages,Directed,153,,n,negotiation,supplication,1.116,,,1116-05-01
Astyages,Harpagos,Directed,154,,n,conflict,consultation,1.117,,,1117-01-01
Harpagos,Astyages,Directed,155,,n,negotiation,reporting,1.117,,,1117-02-01
Astyages,Harpagos,Directed,156,,n,negotiation,reporting,1.118,,,1118-01-01
Harpagos,Astyages,Directed,157,,n,cooperation,supplication,1.119,,,1119-01-01
Harpagos,Son of Harpagos,Directed,158,,y,cooperation,instruction,1.119,,,1119-02-01
Harpagos,Wife of Harpagos,Directed,159,,y,cooperation,reporting,1.119,,,1119-03-01
Astyages,Son of Harpagos,Directed,160,,n,violence,murder/assassination,1.119,,,1119-04-01
Astyages,Harpagos,Directed,161,,n,consultation,consultation,1.119,,,1119-05-01
Harpagos,Astyages,Directed,162,,y,cooperation,reporting,1.119,,,1119-06-01
Astyages,Harpagos,Directed,163,,n,violence,punishment (non-execution),1.119,,,1119-07-01
Harpagos,Astyages,Directed,164,,n,negotiation,reporting,1.119,,,1119-08-01
Astyages,Magi dream interpreters,Directed,165,,y,consultation,consultation,1.12,,,1120-01-01
Magi dream interpreters,Astyages,Directed,166,,y,consultation,consultation,1.12,,,1120-02-01
Astyages,Magi dream interpreters,Directed,167,,y,consultation,consultation,1.12,,,1120-03-01
Magi dream interpreters,Astyages,Directed,168,,y,consultation,consultation,1.12,,,1120-04-01
Astyages,Magi dream interpreters,Directed,169,,y,consultation,consultation,1.12,,,1120-05-01
Magi dream interpreters,Astyages,Directed,170,,y,consultation,consultation,1.12,,,1120-06-01
Astyages,Cyrus,Directed,171,,y,negotiation,political transaction,1.121,,,1121-01-01
Cambyses I,Cyrus,Directed,172,,y,consultation,consultation,1.122,,,1122-01-01
Cyrus,Cambyses I,Directed,173,,y,consultation,reporting,1.122,,,1122-02-01
Harpagos,Cyrus,Directed,174,,y,negotiation,gift-giving,1.123,,,1123-01-01
Harpagos,Cyrus,Directed,175,,y,cooperation,consultation,1.123,,,1123-02-01
Astyages,Cyrus,Directed,176,,n,conflict,political negotiation,1.127,-550,,1127-01-01
Cyrus,Astyages,Directed,177,,n,conflict,political negotiation,1.127,-550,,1127-02-01
Astyages,Magi dream interpreters,Directed,178,,n,violence,execution,1.128,-550,,1128-01-01
Harpagos,Astyages,Directed,179,,n,conflict,punishment (non-execution),1.129,-550,,1129-01-01
Astyages,Harpagos,Directed,180,,n,conflict,consultation,1.129,-550,,1129-02-01
Harpagos,Astyages,Directed,181,,n,conflict,reporting,1.129,-550,,1129-03-01
Astyages,Harpagos,Directed,182,,n,conflict,consultation,1.129,-550,,1129-04-01
Ionian and Aeolian embassy,Cyrus,Directed,183,,n,negotiation,surrender,1.141,-546,,1141-01-01
Cyrus,Ionian and Aeolian embassy,Directed,184,,n,negotiation,political negotiation,1.141,-546,,1141-02-01
Lakrines,Cyrus,Directed,185,,n,negotiation,threat/ultimatum,1.152,-546,,1152-01-01
Cyrus,Lakrines,Directed,186,,n,negotiation,political negotiation,1.152,-546,,1152-02-01
Cyrus,Tabalos,Directed,187,,y,cooperation,political transaction,1.153,-546,,1153-01-01
Cyrus,Paktyes,Directed,188,,y,cooperation,political transaction,1.153,-546,,1153-02-01
Paktyes,Tabalos,Directed,189,,n,conflict,warfare,1.154,-545,,1154-01-01
Cyrus,Croesus,Directed,190,,y,consultation,consultation,1.155,-545,,1155-01-01
Croesus,Cyrus,Directed,191,,y,consultation,instruction,1.155,-545,,1155-02-01
Cyrus,Mazares,Directed,192,,y,cooperation,instruction,1.156,-545,,1156-01-01
Cymaean embassy,Oracle at Branchidai,Directed,193,,n,consultation,consultation,1.158,-545,,1158-01-01
Oracle at Branchidai,Cymaean embassy,Directed,194,,n,consultation,instruction,1.158,-545,,1158-02-01
Aristodikos,Oracle at Branchidai,Directed,195,,n,consultation,consultation,1.159,-545,,1159-01-01
Oracle at Branchidai,Aristodikos,Directed,196,,n,consultation,instruction,1.159,-545,,1159-02-01
Aristodikos,Oracle at Branchidai,Directed,197,,n,negotiation,political negotiation,1.159,-545,,1159-03-01
Oracle at Branchidai,Aristodikos,Directed,198,,n,negotiation,threat/ultimatum,1.159,-545,,1159-04-01
Aristodikos,Oracle at Branchidai,Directed,199,,n,consultation,consultation,1.159,-545,,1159-05-01
Oracle at Branchidai,Aristodikos,Directed,200,,n,consultation,instruction,1.159,-545,,1159-06-01
Cnidian embassy,Pythia,Directed,201,,n,consultation,consultation,1.174,,,1174-01-01
Pythia,Cnidian embassy,Directed,202,,n,consultation,instruction,1.174,,,1174-02-01
Cyrus,Labynetos II,Directed,203,,n,conflict,warfare,1.188,-539,,1188-01-01
Cyrus,Tomyris,Directed,204,,n,negotiation,marriage alliance,1.205,-530,,1205-01-01
Tomyris,Cyrus,Directed,205,,n,negotiation,political negotiation,1.205,-530,,1205-02-01
Tomyris,Cyrus,Directed,206,,n,conflict,instruction,1.206,-530,,1206-01-01
Croesus,Cyrus,Directed,207,,y,consultation,instruction,1.207,-530,,1207-01-01
Cyrus,Tomyris,Directed,208,,n,conflict,instruction,1.207,-530,,1207-02-01
Cyrus,Croesus,Directed,209,,y,cooperation,instruction,1.208,-530,,1208-01-01
Cyrus,Cambyses II,Directed,210,,y,cooperation,instruction,1.208,-530,,1208-02-01
Cyrus,Hystaspes,Directed,211,,n,negotiation,political negotiation,1.209,-530,,1209-01-01
Hystaspes,Cyrus,Directed,212,,y,cooperation,political transaction,1.21,-530,,1210-01-01
Tomyris,Cyrus,Directed,213,,n,conflict,threat/ultimatum,1.212,-530,,1212-01-01
Spargapises,Cyrus,Directed,214,,n,negotiation,supplication,1.213,-530,,1213-01-01
Cyrus,Spargapises,Directed,215,,n,negotiation,political transaction,1.213,-530,,1213-02-01
Tomyris,Cyrus,Directed,216,,n,violence,punishment (non-execution),1.214,-530,,1214-01-01
